Average over 11 datasets,1-shot,2-shot,4-shot,8-shot,16-shot
Tip-Adapter-F,64.62,66.65,69.67,72.45,75.83
GraphAdapter,64.8,67.71,70.35,73.4,76.22
CaFo,67.87,69.54,73.07,75.89,78.79
AMU-Tuning ,66.9,69.01,73.17,76.42,79.37
Ours,68.91,71.01,75.13,78.18,81.32
,,,,,
ImageNet,1-shot,2-shot,4-shot,8-shot,16-shot
Tip-Adapter-F,61.32,61.69,62.52,64,65.51
GraphAdapter,61.5,62.32,63.12,64.23,65.7
CaFo,63.8,64.64,65.64,66.86,68.79
AMU-Tuning ,62.6,64.25,65.92,68.25,70.02
Ours,63.88,65.53,67.54,69.31,71.35
,,,,,
Flowers102,1-shot,2-shot,4-shot,8-shot,16-shot
Tip-Adapter-F,79.98,82.3,88.83,91.51,94.8
GraphAdapter,80,85.63,89.9,94.07,96.23
CaFo,80.88,84.94,90.95,92.98,95.86
AMU-Tuning ,80.3,84.8,90.5,94.8,97.4
Ours,86.2,88.63,94.19,97.24,98.29
,,,,,
DTD,1-shot,2-shot,4-shot,8-shot,16-shot
Tip-Adapter-F,49.65,53.72,57.39,62.71,66.55
GraphAdapter,51.77,55.75,59.63,64.5,67.57
CaFo,53.43,56.32,60.99,66.19,69.62
AMU-Tuning ,53.3,55.3,61.7,65.8,70.9
Ours,57.51,60.93,65.72,68.85,73.58
,,,,,
OxfordPets,1-shot,2-shot,4-shot,8-shot,16-shot
Tip-Adapter-F,87.01,87.03,87.54,88.09,89.7
GraphAdapter,84.4,86.3,86.57,87.63,88.57
CaFo,89.21,89.1,90.11,90.52,91.55
AMU-Tuning ,88.3,88.6,91.1,91.4,91.9
Ours,88.5,89.3,90.62,91.44,92.34
,,,,,
StandfordCars,1-shot,2-shot,4-shot,8-shot,16-shot
Tip-Adapter-F,58.86,61.5,64.57,69.25,75.74
GraphAdapter,59.7,63.23,66.53,70.57,76.23
CaFo,61.98,63.36,65.69,70.31,76.73
AMU-Tuning ,58.9,61.3,64.9,70.5,76.7
Ours,60.24,63.08,67.89,73.14,81.02
,,,,,
UCF101,1-shot,2-shot,4-shot,8-shot,16-shot
Tip-Adapter-F,64.87,66.43,70.55,74.25,78.03
GraphAdapter,64.93,69.47,71.47,75.73,78.8
CaFo,68.6,70.45,72.96,78.06,79.94
AMU-Tuning ,67.6,70.3,72.7,78.3,80.2
Ours,68.15,72.19,75.57,81.13,83
,,,,,
Caltech101,1-shot,2-shot,4-shot,8-shot,16-shot
Tip-Adapter-F,89.33,89.74,90.56,91.44,92.86
GraphAdapter,88.9,90.2,90.97,92.45,93.33
CaFo,91.85,92.37,93.14,93.83,94.6
AMU-Tuning ,91.3,92.3,94.7,95.8,96.2
Ours,92.45,92.58,95.25,95.42,96.02
,,,,,
Food101,1-shot,2-shot,4-shot,8-shot,16-shot
Tip-Adapter-F,77.51,77.81,78.24,78.64,79.43
GraphAdapter,75.43,76.27,76.77,77.73,78.63
CaFo,77.99,78.1,78.32,78.84,79.3
AMU-Tuning ,77.8,77.9,78.2,78.7,79.3
Ours,78.09,78.44,78.73,79.65,79.97
,,,,,
SUN397,1-shot,2-shot,4-shot,8-shot,16-shot
Tip-Adapter-F,62.5,63.64,66.21,68.87,71.47
GraphAdapter,61.93,64.6,66.7,68.97,71.2
CaFo,64.89,66.81,69.17,70.34,72.6
AMU-Tuning ,63.6,65.8,68.1,69.7,71.5
Ours,65.6,67.87,70.69,71.91,74.21
,,,,,
FGVCAircraft,1-shot,2-shot,4-shot,8-shot,16-shot
Tip-Adapter-F,20.22,23.16,25.8,30.21,35.55
GraphAdapter,20.93,23.8,26.97,31.37,36.87
CaFo,24.96,26.04,32.94,40.38,49.05
AMU-Tuning ,22.4,25.7,32.8,39.8,48.4
Ours,23.19,27.36,34.26,42.9,52.93
,,,,,
EuroSAT,1-shot,2-shot,4-shot,8-shot,16-shot
Tip-Adapter-F,59.53,66.15,74.12,77.93,84.54
GraphAdapter,63.3,67.27,75.2,80.17,85.27
CaFo,69.01,72.86,83.9,86.48,88.68
AMU-Tuning ,69.8,72.9,84.2,87.6,90.3
Ours,74.22,75.2,85.99,89,91.81
